Market,Cat_ID,Cat_Name,Parent_ID,Level,Full_Path
쿠팡,C001057,보관용품(19),C001054,5,생활용품 > 성인용품(19) > 성인 완구/게임(19) > 성인완구(19) > 보관용품(19)
쿠팡,C001058,애널용품(19),C001054,5,생활용품 > 성인용품(19) > 성인 완구/게임(19) > 성인완구(19) > 애널용품(19)
쿠팡,C001059,진동기(19),C001054,5,생활용품 > 성인용품(19) > 성인 완구/게임(19) > 성인완구(19) > 진동기(19)
쿠팡,C001060,케어/기타용품(19),C001054,5,생활용품 > 성인용품(19) > 성인 완구/게임(19) > 성인완구(19) > 케어/기타용품(19)
쿠팡,C001061,펌프/확대기(19),C001054,5,생활용품 > 성인용품(19) > 성인 완구/게임(19) > 성인완구(19) > 펌프/확대기(19)
쿠팡,C001062,술자리게임(19),C001052,4,생활용품 > 성인용품(19) > 성인 완구/게임(19) > 술자리게임(19)
쿠팡,C001063,성인용품세트(19),C001042,3,생활용품 > 성인용품(19) > 성인용품세트(19)
쿠팡,C001065,콘돔,C001042,3,생활용품 > 성인용품(19) > 콘돔
쿠팡,C001064,기능/특수형 콘돔(19),C001065,4,생활용품 > 성인용품(19) > 콘돔 > 기능/특수형 콘돔(19)
쿠팡,C001066,일반형 콘돔,C001065,4,생활용품 > 성인용품(19) > 콘돔 > 일반형 콘돔
쿠팡,C001068,흡연용품(19),C001042,3,생활용품 > 성인용품(19) > 흡연용품(19)
쿠팡,C001067,담배파이프,C001068,4,생활용품 > 성인용품(19) > 흡연용품(19) > 담배파이프
쿠팡,C001069,담배필터,C001068,4,생활용품 > 성인용품(19) > 흡연용품(19) > 담배필터
쿠팡,C001071,전자담배,C001068,4,생활용품 > 성인용품(19) > 흡연용품(19) > 전자담배
쿠팡,C001070,액상형,C001071,5,생활용품 > 성인용품(19) > 흡연용품(19) > 전자담배 > 액상형
쿠팡,C001072,카트리지형,C001071,5,생활용품 > 성인용품(19) > 흡연용품(19) > 전자담배 > 카트리지형
쿠팡,C001074,코일/액세서리,C001068,4,생활용품 > 성인용품(19) > 흡연용품(19) > 코일/액세서리
쿠팡,C001073,무니코틴 액상,C001074,5,생활용품 > 성인용품(19) > 흡연용품(19) > 코일/액세서리 > 무니코틴 액상
쿠팡,C001075,배터리,C001074,5,생활용품 > 성인용품(19) > 흡연용품(19) > 코일/액세서리 > 배터리
쿠팡,C001076,카토마이저,C001074,5,생활용품 > 성인용품(19) > 흡연용품(19) > 코일/액세서리 > 카토마이저
쿠팡,C001077,코일,C001074,5,생활용품 > 성인용품(19) > 흡연용품(19) > 코일/액세서리 > 코일
쿠팡,C001080,세제,C000557,2,생활용품 > 세제
쿠팡,C001079,섬유유연제,C001080,3,생활용품 > 세제 > 섬유유연제
쿠팡,C001078,시트 섬유유연제,C001079,4,생활용품 > 세제 > 섬유유연제 > 시트 섬유유연제
쿠팡,C001081,일반 섬유유연제,C001079,4,생활용품 > 세제 > 섬유유연제 > 일반 섬유유연제
쿠팡,C001082,세제선물세트,C001080,3,생활용품 > 세제 > 세제선물세트
쿠팡,C001083,세제혼합구성,C001080,3,생활용품 > 세제 > 세제혼합구성
쿠팡,C001085,세탁세제,C001080,3,생활용품 > 세제 > 세탁세제
쿠팡,C001084,가죽크리너,C001085,4,생활용품 > 세제 > 세탁세제 > 가죽크리너
쿠팡,C001087,드럼전용세제,C001085,4,생활용품 > 세제 > 세탁세제 > 드럼전용세제
쿠팡,C001086,분말세제,C001087,5,생활용품 > 세제 > 세탁세제 > 드럼전용세제 > 분말세제
쿠팡,C001088,액상세제,C001087,5,생활용품 > 세제 > 세탁세제 > 드럼전용세제 > 액상세제
쿠팡,C001089,젤형,C001087,5,생활용품 > 세제 > 세탁세제 > 드럼전용세제 > 젤형
쿠팡,C001090,섬유항균제,C001085,4,생활용품 > 세제 > 세탁세제 > 섬유항균제
쿠팡,C001091,세탁비누,C001085,4,생활용품 > 세제 > 세탁세제 > 세탁비누
